z_m,potential_v,electric_field_v_m,charge_c_m3
  3.9723445384E-01,  1.3916102693E+00,  5.2321506637E-01, -1.7440896561E-12
  4.0297049959E-01,  1.3886123215E+00,  5.2208661689E-01, -1.7396729614E-12
  4.0871274910E-01,  1.3856176065E+00,  5.2095980799E-01, -1.7352665708E-12
  4.1446121116E-01,  1.3826261242E+00,  5.1983463745E-01, -1.7308704570E-12
  4.2021589455E-01,  1.3796378747E+00,  5.1871110305E-01, -1.7264845929E-12
  4.2597680811E-01,  1.3766528578E+00,  5.1758920258E-01, -1.7221089512E-12
  4.3174396067E-01,  1.3736710737E+00,  5.1646893386E-01, -1.7177435052E-12
  4.3751736110E-01,  1.3706925223E+00,  5.1535029467E-01, -1.7133882277E-12
  4.4329701830E-01,  1.3677172037E+00,  5.1423328282E-01, -1.7090430919E-12
  4.4908294117E-01,  1.3647451177E+00,  5.1311789613E-01, -1.7047080711E-12
  4.5487513865E-01,  1.3617762645E+00,  5.1200413240E-01, -1.7003831386E-12
  4.6067361971E-01,  1.3588106440E+00,  5.1089198947E-01, -1.6960682678E-12
  4.6647839332E-01,  1.3558482562E+00,  5.0978146516E-01, -1.6917634321E-12
  4.7228946850E-01,  1.3528891012E+00,  5.0867255729E-01, -1.6874686051E-12
  4.7810685427E-01,  1.3499331789E+00,  5.0756526370E-01, -1.6831837605E-12
  4.8393055968E-01,  1.3469804893E+00,  5.0645958223E-01, -1.6789088718E-12
  4.8976059383E-01,  1.3440310324E+00,  5.0535551073E-01, -1.6746439130E-12
  4.9559696580E-01,  1.3410848083E+00,  5.0425304703E-01, -1.6703888578E-12
  5.0143968473E-01,  1.3381418168E+00,  5.0315218900E-01, -1.6661436803E-12
  5.0728875977E-01,  1.3352020581E+00,  5.0205293448E-01, -1.6619083544E-12
  5.1314420008E-01,  1.3322655322E+00,  5.0095528135E-01, -1.6576828543E-12
  5.1900601488E-01,  1.3293322389E+00,  4.9985922746E-01, -1.6534671541E-12
  5.2487421337E-01,  1.3264021784E+00,  4.9876477069E-01, -1.6492612281E-12
  5.3074880482E-01,  1.3234753506E+00,  4.9767190892E-01, -1.6450650506E-12
  5.3662979849E-01,  1.3205517555E+00,  4.9658064001E-01, -1.6408785960E-12
  5.4251720368E-01,  1.3176313932E+00,  4.9549096187E-01, -1.6367018389E-12
  5.4841102971E-01,  1.3147142635E+00,  4.9440287236E-01, -1.6325347537E-12
  5.5431128593E-01,  1.3118003666E+00,  4.9331636940E-01, -1.6283773151E-12
  5.6021798171E-01,  1.3088897024E+00,  4.9223145087E-01, -1.6242294979E-12
  5.6613112645E-01,  1.3059822710E+00,  4.9114811467E-01, -1.6200912768E-12
  5.7205072957E-01,  1.3030780723E+00,  4.9006635872E-01, -1.6159626267E-12
  5.7797680051E-01,  1.3001771063E+00,  4.8898618092E-01, -1.6118435225E-12
  5.8390934874E-01,  1.2972793730E+00,  4.8790757919E-01, -1.6077339392E-12
  5.8984838378E-01,  1.2943848724E+00,  4.8683055144E-01, -1.6036338521E-12
  5.9579391513E-01,  1.2914936046E+00,  4.8575509561E-01, -1.5995432361E-12
  6.0174595235E-01,  1.2886055695E+00,  4.8468120962E-01, -1.5954620665E-12
  6.0770450501E-01,  1.2857207671E+00,  4.8360889140E-01, -1.5913903188E-12
  6.1366958272E-01,  1.2828391974E+00,  4.8253813889E-01, -1.5873279681E-12
  6.1964119509E-01,  1.2799608605E+00,  4.8146895002E-01, -1.5832749901E-12
  6.2561935179E-01,  1.2770857563E+00,  4.8040132276E-01, -1.5792313602E-12
  6.3160406249E-01,  1.2742138848E+00,  4.7933525504E-01, -1.5751970541E-12
  6.3759533689E-01,  1.2713452460E+00,  4.7827074482E-01, -1.5711720474E-12
  6.4359318473E-01,  1.2684798400E+00,  4.7720779006E-01, -1.5671563159E-12
  6.4959761576E-01,  1.2656176667E+00,  4.7614638872E-01, -1.5631498355E-12
  6.5560863977E-01,  1.2627587261E+00,  4.7508653877E-01, -1.5591525819E-12
  6.6162626657E-01,  1.2599030182E+00,  4.7402823818E-01, -1.5551645312E-12
  6.6765050600E-01,  1.2570505431E+00,  4.7297148493E-01, -1.5511856594E-12
  6.7368136792E-01,  1.2542013007E+00,  4.7191627699E-01, -1.5472159427E-12
  6.7971886222E-01,  1.2513552910E+00,  4.7086261235E-01, -1.5432553572E-12
  6.8576299882E-01,  1.2485125140E+00,  4.6981048901E-01, -1.5393038791E-12
  6.9181378767E-01,  1.2456729697E+00,  4.6875990494E-01, -1.5353614848E-12
  6.9787123874E-01,  1.2428366582E+00,  4.6771085816E-01, -1.5314281508E-12
  7.0393536203E-01,  1.2400035794E+00,  4.6666334666E-01, -1.5275038533E-12
  7.1000616757E-01,  1.2371737334E+00,  4.6561736844E-01, -1.5235885691E-12
  7.1608366541E-01,  1.2343471200E+00,  4.6457292152E-01, -1.5196822747E-12
  7.2216786564E-01,  1.2315237394E+00,  4.6353000391E-01, -1.5157849467E-12
  7.2825877836E-01,  1.2287035915E+00,  4.6248861363E-01, -1.5118965620E-12
  7.3435641372E-01,  1.2258866763E+00,  4.6144874870E-01, -1.5080170973E-12
  7.4046078189E-01,  1.2230729939E+00,  4.6041040715E-01, -1.5041465295E-12
  7.4657189305E-01,  1.2202625441E+00,  4.5937358701E-01, -1.5002848356E-12
  7.5268975744E-01,  1.2174553271E+00,  4.5833828631E-01, -1.4964319925E-12
  7.5881438529E-01,  1.2146513429E+00,  4.5730450310E-01, -1.4925879774E-12
  7.6494578691E-01,  1.2118505913E+00,  4.5627223541E-01, -1.4887527674E-12
  7.7108397258E-01,  1.2090530725E+00,  4.5524148130E-01, -1.4849263398E-12
  7.7722895266E-01,  1.2062587864E+00,  4.5421223881E-01, -1.4811086718E-12
  7.8338073750E-01,  1.2034677330E+00,  4.5318450600E-01, -1.4772997408E-12
  7.8953933751E-01,  1.2006799124E+00,  4.5215828093E-01, -1.4734995243E-12
  7.9570476310E-01,  1.1978953244E+00,  4.5113356167E-01, -1.4697079996E-12
  8.0187702473E-01,  1.1951139692E+00,  4.5011034628E-01, -1.4659251444E-12
  8.0805613289E-01,  1.1923358467E+00,  4.4908863284E-01, -1.4621509363E-12
  8.1424209808E-01,  1.1895609570E+00,  4.4806841942E-01, -1.4583853530E-12
  8.2043493085E-01,  1.1867892999E+00,  4.4704970410E-01, -1.4546283723E-12
  8.2663464177E-01,  1.1840208756E+00,  4.4603248497E-01, -1.4508799719E-12
  8.3284124144E-01,  1.1812556840E+00,  4.4501676011E-01, -1.4471401297E-12
  8.3905474049E-01,  1.1784937252E+00,  4.4400252762E-01, -1.4434088238E-12
  8.4527514959E-01,  1.1757349991E+00,  4.4298978559E-01, -1.4396860320E-12
  8.5150247942E-01,  1.1729795056E+00,  4.4197853213E-01, -1.4359717326E-12
  8.5773674070E-01,  1.1702272450E+00,  4.4096876534E-01, -1.4322659037E-12
  8.6397794420E-01,  1.1674782170E+00,  4.3996048333E-01, -1.4285685234E-12
  8.7022610069E-01,  1.1647324218E+00,  4.3895368421E-01, -1.4248795701E-12
  8.7648122098E-01,  1.1619898592E+00,  4.3794836610E-01, -1.4211990220E-12
  8.8274331592E-01,  1.1592505294E+00,  4.3694452711E-01, -1.4175268577E-12
  8.8901239638E-01,  1.1565144324E+00,  4.3594216538E-01, -1.4138630555E-12
  8.9528847328E-01,  1.1537815680E+00,  4.3494127903E-01, -1.4102075940E-12
  9.0157155754E-01,  1.1510519364E+00,  4.3394186620E-01, -1.4065604518E-12
  9.0786166013E-01,  1.1483255375E+00,  4.3294392502E-01, -1.4029216076E-12
  9.1415879206E-01,  1.1456023714E+00,  4.3194745363E-01, -1.3992910400E-12
  9.2046296436E-01,  1.1428824379E+00,  4.3095245018E-01, -1.3956687279E-12
  9.2677418808E-01,  1.1401657372E+00,  4.2995891282E-01, -1.3920546500E-12
  9.3309247433E-01,  1.1374522692E+00,  4.2896683969E-01, -1.3884487854E-12
  9.3941783423E-01,  1.1347420339E+00,  4.2797622896E-01, -1.3848511130E-12
  9.4575027894E-01,  1.1320350314E+00,  4.2698707878E-01, -1.3812616118E-12
  9.5208981964E-01,  1.1293312616E+00,  4.2599938733E-01, -1.3776802609E-12
  9.5843646757E-01,  1.1266307245E+00,  4.2501315276E-01, -1.3741070395E-12
  9.6479023398E-01,  1.1239334201E+00,  4.2402837325E-01, -1.3705419267E-12
  9.7115113015E-01,  1.1212393485E+00,  4.2304504698E-01, -1.3669849020E-12
  9.7751916742E-01,  1.1185485095E+00,  4.2206317213E-01, -1.3634359445E-12
  9.8389435712E-01,  1.1158609033E+00,  4.2108274687E-01, -1.3598950337E-12
  9.9027671065E-01,  1.1131765298E+00,  4.2010376940E-01, -1.3563621491E-12
  9.9666623943E-01,  1.1104953891E+00,  4.1912623792E-01, -1.3528372701E-12
  1.0030629549E+00,  1.1078174811E+00,  4.1815015061E-01, -1.3493203764E-12
  1.0094668686E+00,  1.1051428058E+00,  4.1717550567E-01, -1.3458114477E-12
  1.0158779919E+00,  1.1024713632E+00,  4.1620230131E-01, -1.3423104635E-12
  1.0222963366E+00,  1.0998031533E+00,  4.1523053574E-01, -1.3388174037E-12
  1.0287219141E+00,  1.0971381762E+00,  4.1426020716E-01, -1.3353322481E-12
  1.0351547360E+00,  1.0944764318E+00,  4.1329131379E-01, -1.3318549765E-12
  1.0415948141E+00,  1.0918179201E+00,  4.1232385385E-01, -1.3283855689E-12
  1.0480421600E+00,  1.0891626412E+00,  4.1135782556E-01, -1.3249240053E-12
  1.0544967854E+00,  1.0865105949E+00,  4.1039322715E-01, -1.3214702658E-12
  1.0609587022E+00,  1.0838617814E+00,  4.0943005684E-01, -1.3180243304E-12
  1.0674279220E+00,  1.0812162006E+00,  4.0846831288E-01, -1.3145861794E-12
  1.0739044567E+00,  1.0785738526E+00,  4.0750799349E-01, -1.3111557929E-12
  1.0803883183E+00,  1.0759347372E+00,  4.0654909693E-01, -1.3077331513E-12
  1.0868795185E+00,  1.0732988546E+00,  4.0559162143E-01, -1.3043182348E-12
  1.0933780693E+00,  1.0706662047E+00,  4.0463556524E-01, -1.3009110240E-12
  1.0998839827E+00,  1.0680367876E+00,  4.0368092662E-01, -1.2975114992E-12
  1.1063972707E+00,  1.0654106031E+00,  4.0272770383E-01, -1.2941196409E-12
  1.1129179453E+00,  1.0627876514E+00,  4.0177589511E-01, -1.2907354298E-12
  1.1194460187E+00,  1.0601679324E+00,  4.0082549874E-01, -1.2873588465E-12
  1.1259815028E+00,  1.0575514462E+00,  3.9987651299E-01, -1.2839898716E-12
  1.1325244099E+00,  1.0549381926E+00,  3.9892893612E-01, -1.2806284860E-12
  1.1390747522E+00,  1.0523281718E+00,  3.9798276641E-01, -1.2772746703E-12
  1.1456325419E+00,  1.0497213837E+00,  3.9703800215E-01, -1.2739284055E-12
  1.1521977911E+00,  1.0471178284E+00,  3.9609464160E-01, -1.2705896724E-12
