z_m,potential_v,electric_field_v_m,charge_c_m3
  3.9414822531E-01,  3.2610002528E+00,  1.3303298167E+00, -5.6445355781E-12
  3.9997420333E-01,  3.2532605844E+00,  1.3266236424E+00, -5.6206069485E-12
  4.0581015960E-01,  3.2455292617E+00,  1.3229268561E+00, -5.5967881075E-12
  4.1165610857E-01,  3.2378062848E+00,  1.3192394301E+00, -5.5730784885E-12
  4.1751206470E-01,  3.2300916537E+00,  1.3155613369E+00, -5.5494775285E-12
  4.2337804248E-01,  3.2223853684E+00,  1.3118925492E+00, -5.5259846673E-12
  4.2925405644E-01,  3.2146874288E+00,  1.3082330397E+00, -5.5025993481E-12
  4.3514012114E-01,  3.2069978350E+00,  1.3045827811E+00, -5.4793210172E-12
  4.4103625116E-01,  3.1993165870E+00,  1.3009417464E+00, -5.4561491241E-12
  4.4694246112E-01,  3.1916436848E+00,  1.2973099085E+00, -5.4330831214E-12
  4.5285876567E-01,  3.1839791284E+00,  1.2936872405E+00, -5.4101224648E-12
  4.5878517949E-01,  3.1763229177E+00,  1.2900737157E+00, -5.3872666131E-12
  4.6472171729E-01,  3.1686750529E+00,  1.2864693074E+00, -5.3645150282E-12
  4.7066839383E-01,  3.1610355338E+00,  1.2828739888E+00, -5.3418671749E-12
  4.7662522386E-01,  3.1534043605E+00,  1.2792877336E+00, -5.3193225213E-12
  4.8259222221E-01,  3.1457815329E+00,  1.2757105152E+00, -5.2968805382E-12
  4.8856940371E-01,  3.1381670512E+00,  1.2721423074E+00, -5.2745406997E-12
  4.9455678322E-01,  3.1305609152E+00,  1.2685830839E+00, -5.2523024827E-12
  5.0055437567E-01,  3.1229631250E+00,  1.2650328186E+00, -5.2301653671E-12
  5.0656219597E-01,  3.1153736806E+00,  1.2614914855E+00, -5.2081288357E-12
  5.1258025910E-01,  3.1077925820E+00,  1.2579590585E+00, -5.1861923744E-12
  5.1860858007E-01,  3.1002198292E+00,  1.2544355118E+00, -5.1643554717E-12
  5.2464717389E-01,  3.0926554221E+00,  1.2509208197E+00, -5.1426176193E-12
  5.3069605565E-01,  3.0850993608E+00,  1.2474149566E+00, -5.1209783115E-12
  5.3675524043E-01,  3.0775516453E+00,  1.2439178967E+00, -5.0994370457E-12
  5.4282474338E-01,  3.0700122756E+00,  1.2404296147E+00, -5.0779933219E-12
  5.4890457965E-01,  3.0624812517E+00,  1.2369500851E+00, -5.0566466432E-12
  5.5499476445E-01,  3.0549585735E+00,  1.2334792826E+00, -5.0353965152E-12
  5.6109531301E-01,  3.0474442411E+00,  1.2300171821E+00, -5.0142424465E-12
  5.6720624059E-01,  3.0399382545E+00,  1.2265637583E+00, -4.9931839483E-12
  5.7332756250E-01,  3.0324406137E+00,  1.2231189864E+00, -4.9722205347E-12
  5.7945929407E-01,  3.0249513187E+00,  1.2196828412E+00, -4.9513517225E-12
  5.8560145065E-01,  3.0174703694E+00,  1.2162552981E+00, -4.9305770312E-12
  5.9175404767E-01,  3.0099977660E+00,  1.2128363321E+00, -4.9098959829E-12
  5.9791710055E-01,  3.0025335083E+00,  1.2094259187E+00, -4.8893081025E-12
  6.0409062476E-01,  2.9950775964E+00,  1.2060240333E+00, -4.8688129176E-12
  6.1027463581E-01,  2.9876300302E+00,  1.2026306512E+00, -4.8484099583E-12
  6.1646914923E-01,  2.9801908099E+00,  1.1992457483E+00, -4.8280987575E-12
  6.2267418061E-01,  2.9727599353E+00,  1.1958693000E+00, -4.8078788507E-12
  6.2888974555E-01,  2.9653374065E+00,  1.1925012823E+00, -4.7877497758E-12
  6.3511585969E-01,  2.9579232235E+00,  1.1891416708E+00, -4.7677110736E-12
  6.4135253871E-01,  2.9505173863E+00,  1.1857904417E+00, -4.7477622872E-12
  6.4759979834E-01,  2.9431198948E+00,  1.1824475708E+00, -4.7279029624E-12
  6.5385765431E-01,  2.9357307492E+00,  1.1791130343E+00, -4.7081326474E-12
  6.6012612241E-01,  2.9283499493E+00,  1.1757868084E+00, -4.6884508933E-12
  6.6640521848E-01,  2.9209774952E+00,  1.1724688694E+00, -4.6688572532E-12
  6.7269495835E-01,  2.9136133869E+00,  1.1691591937E+00, -4.6493512831E-12
  6.7899535794E-01,  2.9062576243E+00,  1.1658577576E+00, -4.6299325411E-12
  6.8530643316E-01,  2.8989102076E+00,  1.1625645377E+00, -4.6106005883E-12
  6.9162819998E-01,  2.8915711366E+00,  1.1592795107E+00, -4.5913549876E-12
  6.9796067441E-01,  2.8842404114E+00,  1.1560026532E+00, -4.5721953050E-12
  7.0430387248E-01,  2.8769180320E+00,  1.1527339420E+00, -4.5531211083E-12
  7.1065781027E-01,  2.8696039983E+00,  1.1494733540E+00, -4.5341319682E-12
  7.1702250389E-01,  2.8622983105E+00,  1.1462208662E+00, -4.5152274574E-12
  7.2339796949E-01,  2.8550009684E+00,  1.1429764554E+00, -4.4964071514E-12
  7.2978422327E-01,  2.8477119721E+00,  1.1397400990E+00, -4.4776706276E-12
  7.3618128143E-01,  2.8404313216E+00,  1.1365117740E+00, -4.4590174662E-12
  7.4258916025E-01,  2.8331590169E+00,  1.1332914578E+00, -4.4404472493E-12
  7.4900787603E-01,  2.8258950579E+00,  1.1300791276E+00, -4.4219595617E-12
  7.5543744509E-01,  2.8186394447E+00,  1.1268747610E+00, -4.4035539902E-12
  7.6187788382E-01,  2.8113921773E+00,  1.1236783354E+00, -4.3852301241E-12
  7.6832920863E-01,  2.8041532557E+00,  1.1204898285E+00, -4.3669875549E-12
  7.7479143596E-01,  2.7969226799E+00,  1.1173092178E+00, -4.3488258765E-12
  7.8126458232E-01,  2.7897004498E+00,  1.1141364812E+00, -4.3307446847E-12
  7.8774866422E-01,  2.7824865656E+00,  1.1109715966E+00, -4.3127435779E-12
