z_m,potential_v,electric_field_v_m,charge_c_m3
  1.8492320257E+00, -3.6494166263E+00, -3.0385159356E-01,  1.5844798166E-13
  1.8751260751E+00, -3.6415546835E+00, -3.0338753702E-01,  1.5890792754E-13
  1.9010318631E+00, -3.6337012184E+00, -3.0292194389E-01,  1.5935459190E-13
  1.9269495560E+00, -3.6258562309E+00, -3.0245484839E-01,  1.5978829710E-13
  1.9528793180E+00, -3.6180197210E+00, -3.0198628385E-01,  1.6020935406E-13
  1.9788213114E+00, -3.6101916887E+00, -3.0151628279E-01,  1.6061806288E-13
  2.0047756966E+00, -3.6023721341E+00, -3.0104487691E-01,  1.6101471328E-13
  2.0307426324E+00, -3.5945610571E+00, -3.0057209714E-01,  1.6139958513E-13
  2.0567222758E+00, -3.5867584577E+00, -3.0009797368E-01,  1.6177294886E-13
  2.0827147820E+00, -3.5789643360E+00, -2.9962253599E-01,  1.6213506592E-13
  2.1087203049E+00, -3.5711786919E+00, -2.9914581284E-01,  1.6248618916E-13
  2.1347389964E+00, -3.5634015254E+00, -2.9866783235E-01,  1.6282656321E-13
  2.1607710073E+00, -3.5556328365E+00, -2.9818862195E-01,  1.6315642485E-13
  2.1868164866E+00, -3.5478726253E+00, -2.9770820847E-01,  1.6347600334E-13
  2.2128755821E+00, -3.5401208917E+00, -2.9722661814E-01,  1.6378552073E-13
  2.2389484399E+00, -3.5323776358E+00, -2.9674387659E-01,  1.6408519220E-13
  2.2650352052E+00, -3.5246428574E+00, -2.9626000888E-01,  1.6437522628E-13
  2.2911360214E+00, -3.5169165568E+00, -2.9577503952E-01,  1.6465582522E-13
  2.3172510310E+00, -3.5091987337E+00, -2.9528899250E-01,  1.6492718513E-13
  2.3433803750E+00, -3.5014893883E+00, -2.9480189129E-01,  1.6518949634E-13
  2.3695241934E+00, -3.4937885205E+00, -2.9431375885E-01,  1.6544294354E-13
  2.3956826249E+00, -3.4860961303E+00, -2.9382461767E-01,  1.6568770607E-13
  2.4218558070E+00, -3.4784122177E+00, -2.9333448976E-01,  1.6592395808E-13
  2.4480438762E+00, -3.4707367828E+00, -2.9284339668E-01,  1.6615186876E-13
  2.4742469681E+00, -3.4630698256E+00, -2.9235135955E-01,  1.6637160250E-13
  2.5004652168E+00, -3.4554113459E+00, -2.9185839906E-01,  1.6658331914E-13
  2.5266987558E+00, -3.4477613439E+00, -2.9136453548E-01,  1.6678717403E-13
  2.5529477175E+00, -3.4401198195E+00, -2.9086978868E-01,  1.6698331832E-13
  2.5792122331E+00, -3.4324867728E+00, -2.9037417814E-01,  1.6717189900E-13
  2.6054924333E+00, -3.4248622036E+00, -2.8987772295E-01,  1.6735305914E-13
  2.6317884475E+00, -3.4172461121E+00, -2.8938044185E-01,  1.6752693799E-13
  2.6581004045E+00, -3.4096384983E+00, -2.8888235319E-01,  1.6769367112E-13
  2.6844284320E+00, -3.4020393620E+00, -2.8838347498E-01,  1.6785339054E-13
  2.7107726570E+00, -3.3944487034E+00, -2.8788382492E-01,  1.6800622487E-13
  2.7371332057E+00, -3.3868665225E+00, -2.8738342033E-01,  1.6815229939E-13
  2.7635102035E+00, -3.3792928191E+00, -2.8688227824E-01,  1.6829173622E-13
  2.7899037750E+00, -3.3717275934E+00, -2.8638041536E-01,  1.6842465438E-13
  2.8163140440E+00, -3.3641708453E+00, -2.8587784810E-01,  1.6855116993E-13
  2.8427411338E+00, -3.3566225749E+00, -2.8537459255E-01,  1.6867139604E-13
  2.8691851667E+00, -3.3490827821E+00, -2.8487066454E-01,  1.6878544310E-13
  2.8956462645E+00, -3.3415514669E+00, -2.8436607959E-01,  1.6889341882E-13
  2.9221245483E+00, -3.3340286293E+00, -2.8386085298E-01,  1.6899542830E-13
  2.9486201385E+00, -3.3265142694E+00, -2.8335499969E-01,  1.6909157413E-13
