x,source_ratio,types_found,unresolved_types,rejected_types,candidate_count
  2.98750000E+01,  7.71105413E-01,4,3,0,1
  3.12500000E+01,  7.71105413E-01,4,3,0,1
  3.26250000E+01,  7.71105413E-01,4,3,0,1
  3.40000000E+01,  7.71105413E-01,4,3,0,1
  3.53750000E+01,  7.71105413E-01,4,3,0,1
  3.67500000E+01,  7.71105413E-01,4,3,0,1
  3.81250000E+01,  7.71105413E-01,4,3,0,1
  3.95000000E+01,  7.71105413E-01,4,3,0,1
  4.08750000E+01,  7.71105413E-01,4,3,0,1
  4.22500000E+01,  7.71105413E-01,4,3,0,1
  4.36250000E+01,  7.71105413E-01,4,3,0,1
  4.50000000E+01,  7.71105413E-01,4,3,0,1
  4.63750000E+01,  7.71105413E-01,4,3,0,1
  4.77500000E+01,  7.71105413E-01,4,3,0,1
  4.91250000E+01,  7.71105413E-01,4,3,0,1
  5.05000000E+01,  7.71105413E-01,4,3,0,1
  5.18750000E+01,  7.71105413E-01,4,3,0,1
  5.32500000E+01,  7.71105413E-01,4,3,0,1
  5.46250000E+01,  7.71105413E-01,4,3,0,1
  5.60000000E+01,  7.71105413E-01,4,3,0,1
  5.73750000E+01,  7.71105413E-01,4,3,0,1
  5.87500000E+01,  7.71105413E-01,4,3,0,1
  6.01250000E+01,  7.71105413E-01,4,3,0,1
  6.15000000E+01,  7.71105413E-01,4,3,0,1
  6.28750000E+01,  7.71105413E-01,4,3,0,1
  6.42500000E+01,  7.71105413E-01,4,3,0,1
  6.56250000E+01,  7.71105413E-01,4,3,0,1
  6.70000000E+01,  7.71105413E-01,4,3,0,1
  6.83750000E+01,  7.71105413E-01,4,3,0,1
  6.97500000E+01,  7.71105413E-01,4,3,0,1
  7.11250000E+01,  7.71105413E-01,4,3,0,1
  7.25000000E+01,  7.71105413E-01,4,3,0,1
  7.38750000E+01,  7.71105413E-01,4,3,0,1
  7.52500000E+01,  7.71105413E-01,4,3,0,1
  7.66250000E+01,  7.71105413E-01,4,3,0,1
  7.80000000E+01,  7.71105413E-01,4,3,0,1
